year,portfolio_value,growth_rate,annual_dividend,total_dividends,reward,Simulation,portfolio_value Std,growth_rate Std,annual_dividend Std,total_dividends Std,reward Std,Simulation Std
0,113753.90432952919,13.753904329529204,3212.642226173303,3212.642226173303,-51665.75781591849,12.666666666666666,1615.7196733354472,1.615719673335445,457.75994825299074,457.75994825299074,808.1474508440169,4.830458915396481
1,127659.70595670716,12.221674612731455,3405.523157664627,6618.16538383793,-56358.788412721384,12.666666666666666,2869.182706501523,1.7873959151497103,521.895346540019,762.3704285626675,1325.3450959100135,4.830458915396481
2,151304.33465633026,18.523127564151583,4098.103119569907,10716.268503407837,-69816.2379271906,12.666666666666666,3586.1599013379905,1.0983145885425551,666.7452220021489,1078.2929968739188,1668.230232720942,4.830458915396481
3,177389.50528164473,17.238835588996057,4689.918750905087,15406.187254312925,-75810.92847970247,12.666666666666666,4543.72830932938,0.9754437209004183,701.2486877715263,1336.41311883299,1957.1746747228865,4.830458915396481
4,205001.74929989077,15.568331417104893,5082.834032212914,20489.02128652584,-92947.51109595105,12.666666666666666,5479.8857815968695,1.15141124636119,722.1076187241912,1626.658841670233,2501.9923318386436,4.830458915396481
5,237454.17616756563,15.834611706915123,6210.351001328038,26699.372287853872,-108562.41539087941,12.666666666666666,6271.155896401505,0.8619458123448641,719.8223243831264,1758.1524895141526,2885.691546082556,4.830458915396481
6,271332.9417720654,14.273840208188494,7476.892219995079,34176.26450784896,-122993.55907203357,12.666666666666666,7008.558036441686,1.04343232958256,903.0199222435858,1458.1769212316858,3196.229750561219,4.830458915396481
7,306588.1993927029,12.998355277714413,7906.2001911194875,42082.46469896845,-133431.67524216324,12.666666666666666,7774.543619890198,0.9283413180547869,698.3975911246694,1688.4365313945877,3403.88917487284,4.830458915396481
8,347935.86499139806,13.48767766898698,9708.113838039426,51790.57853700787,-151520.15539176122,12.666666666666666,9264.220473801395,1.0820895964797175,1142.5119398185307,2446.5508758215133,4056.8219240356366,4.830458915396481
9,397309.9766647982,14.187634464217975,10790.12733368792,62580.70587069578,-164764.23701512802,12.666666666666666,11275.769457766268,0.7575686393257456,1418.3098212808547,3190.325739178223,4701.995582747819,4.830458915396481
10,455424.1078164617,14.611171882730362,11907.001109033627,74487.70697972941,-207808.19146753993,12.666666666666666,15619.273744932698,1.1376449320633943,1260.1479822247084,3738.1422018483695,7160.453384488977,4.830458915396481
11,515154.91656696366,13.143987141996838,13502.005771841106,87989.71275157052,-238410.13954029116,12.666666666666666,15898.14530805288,1.8508697092023798,2186.5199883213345,4417.655584226516,7389.752525046474,4.830458915396481
12,580708.9135216154,12.735504664071335,15165.209509089813,103154.92226066034,-265026.86032220785,12.666666666666666,16998.489016671618,1.074778124718814,1985.47175290822,5175.312716853069,7790.623477087646,4.830458915396481
13,657524.6400597165,13.230647717494211,18932.985845284627,122087.90810594497,-295930.8225691734,12.666666666666666,19564.56707295679,0.9865297292443177,3179.6908909959416,6700.2157103929685,8841.065778762853,4.830458915396481
14,718056.2149255244,9.209715006794207,19368.587702023964,141456.49580796892,-323434.11338001094,12.666666666666666,21495.33809857598,1.013318091366194,2190.699621083062,7568.6257169965775,9720.423369544966,4.830458915396481
15,824708.7779792959,14.865290866473416,23407.872409569583,164864.36821753852,-390141.69252407574,12.666666666666666,26552.991794522197,2.204719830558635,2384.7914587826044,8173.843871896673,12605.188763642805,4.830458915396481
16,933064.2894539054,13.158069615970897,25092.3769560967,189956.7451736352,-448924.89788139233,12.666666666666666,25744.76132284093,0.9480799489292292,4175.749266132403,9691.871051165745,12427.128267785027,4.830458915396481
17,985717.3643239568,5.670433138537202,26045.919164488863,216002.66433812407,-470941.73746482906,12.666666666666666,19273.91880646745,1.2435258406792735,3676.7336370646512,10346.891729753439,9238.616769627282,4.830458915396481
