year,portfolio_value,allocations,reward
0,123238.49499225616,"[0.1910000741481781, 0.17337457835674286, 0.0382000170648098, 0.0, 0.08404003083705902, 0.08404003083705902, 0.1910000741481781, 0.07814959436655045, 0.0, 0.09127511829137802, 0.0382000170648098, 0.030720453709363937]",-17099.94688207698
1,147248.66537765716,"[0.051651760935783386, 0.15516777336597443, 0.07844250649213791, 0.0, 0.10446136444807053, 0.10446136444807053, 0.1651720106601715, 0.10111793875694275, 0.05676013231277466, 0.10856800526380539, 0.0, 0.07419709861278534]",-29109.563700505867
2,131974.14214859912,"[0.031901806592941284, 0.1576259732246399, 0.11023011058568954, 0.0, 0.12630286812782288, 0.12199346721172333, 0.04025900363922119, 0.12423750758171082, 0.096836157143116, 0.1288396716117859, 0.06177346035838127, 0.0]",-7326.624916980707
3,110784.20122810428,"[0.07327877730131149, 0.032014429569244385, 0.11679451167583466, 0.055555559694767, 0.12572380900382996, 0.012218592688441277, 0.07792166620492935, 0.1245763897895813, 0.10935342311859131, 0.12713314592838287, 0.08987414836883545, 0.055555559694767]",-20212.564705866123
4,138121.70975667122,"[0.14772161841392517, 0.0, 0.014317461289465427, 0.1326124221086502, 0.02192976325750351, 0.09566730260848999, 0.03824169561266899, 0.1914532631635666, 0.17305591702461243, 0.0231312345713377, 0.16186930239200592, 0.0]",-16488.74945402941
5,178451.8776690734,"[0.046051714569330215, 0.0, 0.0, 0.03147123008966446, 0.0, 0.0, 0.0652455985546112, 0.2812545895576477, 0.26350098848342896, 0.11882255971431732, 0.19365337491035461, 0.0]",-10416.848315447172
6,202828.98698263473,"[0.0, 0.09414312243461609, 0.09414312243461609, 0.0, 0.0, 0.0, 0.09883235394954681, 0.3589249849319458, 0.15392494201660156, 0.017720144242048264, 0.08816821128129959, 0.09414312243461609]",-13660.848088331224
7,240885.2997230528,"[0.0, 0.15441633760929108, 0.15441633760929108, 0.0, 0.0, 0.0, 0.0, 0.3650168776512146, 0.042890481650829315, 0.0, 0.12884362041950226, 0.15441633760929108]",-31799.043096083187
8,266381.01024514297,"[0.08519656956195831, 0.18354792892932892, 0.19162650406360626, 0.08519656956195831, 0.0, 0.08519656956195831, 0.0, 0.2257852852344513, 0.0, 0.0, 0.09708981215953827, 0.04636085033416748]",-33438.71574939237
9,296433.80209467333,"[0.0, 0.0771273747086525, 0.08458512276411057, 0.17096444964408875, 0.0, 0.0, 0.09231512248516083, 0.3007490932941437, 0.0, 0.09231512248516083, 0.18194371461868286, 0.0]",-36394.11781597089
10,360652.9148813864,"[0.09560481458902359, 0.0, 0.0, 0.2590550482273102, 0.09560481458902359, 0.09560481458902359, 0.18386252224445343, 0.1919257938861847, 0.0, 0.0, 0.07834213227033615, 0.0]",-103259.02300614811
11,432150.02670312073,"[0.0, 0.09746085852384567, 0.09746085852384567, 0.15501642227172852, 0.19063812494277954, 0.19063812494277954, 0.08173312991857529, 0.08959166705608368, 0.09746085852384567, 0.0, 0.0, 0.0]",-200282.8153512359
12,435482.1865622787,"[0.0, 0.0, 0.23982752859592438, 0.06682059913873672, 0.11008519679307938, 0.11008519679307938, 0.0, 0.23026995360851288, 0.0, 0.12145573645830154, 0.0, 0.12145573645830154]",-111925.93466263135
13,471584.35854795924,"[0.08824727684259415, 0.0, 0.299888551235199, 0.0, 0.008899910375475883, 0.18539446592330933, 0.08824727684259415, 0.11495967954397202, 0.08824727684259415, 0.018934102728962898, 0.08824727684259415, 0.018934102728962898]",-93612.21356637198
14,486936.70254016004,"[0.13307403028011322, 0.0, 0.2826855480670929, 0.0706910789012909, 0.0, 0.06036626920104027, 0.0, 0.15195731818675995, 0.13307403028011322, 0.08407580107450485, 0.0, 0.08407580107450485]",-15955.023194668702
15,628654.1380448822,"[0.1646091192960739, 0.0, 0.12902213633060455, 0.12055099755525589, 0.07062525302171707, 0.11325907707214355, 0.07062525302171707, 0.17794549465179443, 0.02335861511528492, 0.13000398874282837, 0.0, 0.0]",-277575.5178154228
16,534138.2900504685,"[0.2499261051416397, 0.09445105493068695, 0.02741171233355999, 0.0194106325507164, 0.0, 0.2014254331588745, 0.0, 0.07362034171819687, 0.11651351302862167, 0.21724118292331696, 0.0, 0.0]",-223606.8387621716
17,526349.2647729891,"[0.31600794196128845, 0.0, 0.0, 0.0, 0.09030704945325851, 0.27220839262008667, 0.0, 0.15679140388965607, 0.014912864193320274, 0.10587704926729202, 0.04389531537890434, 0.0]",-439211.05952197924
